data,serie_13672,serie_13684,serie_1619,serie_188,serie_189,serie_20570,serie_20574,serie_20576,serie_20577,serie_20578,serie_20579,serie_20580,serie_20581,serie_20584,serie_20588,serie_20590,serie_20662,serie_20668,serie_20669,serie_20670,serie_20671,serie_20672,serie_20673,serie_20676,serie_20679,serie_20680,serie_20682,serie_20740,serie_20744,serie_20745,serie_20746,serie_20747,serie_20748,serie_20749,serie_20752,serie_20878,serie_20881,serie_20882,serie_20883,serie_20884,serie_20885,serie_20886,serie_20889,serie_20892,serie_20954,serie_20958,serie_20959,serie_20960,serie_20961,serie_20962,serie_20963,serie_20966,serie_20970,serie_20971,serie_21033,serie_21037,serie_21038,serie_21039,serie_21040,serie_21041,serie_21042,serie_21045,serie_21049,serie_21050,serie_21112,serie_21116,serie_21117,serie_21118,serie_21119,serie_21120,serie_21121,serie_21124,serie_21128,serie_21129,serie_21130,serie_22023,serie_22024,serie_23061,serie_23063,serie_23070,serie_24369,serie_24370,serie_24379,serie_24380,serie_24381,serie_24382,serie_25462,serie_25466,serie_25467,serie_25468,serie_25469,serie_25470,serie_25471,serie_25474,serie_25477,serie_25478,serie_25479,serie_27574,serie_27791,serie_27810,serie_27813,serie_27815,serie_28635,serie_28636,serie_28637,serie_433,serie_4393
2014-01-01,6.6,6.4,724.0,0.63,0.48,746459.0,98842.0,20009.0,137512.0,65121.0,222642.0,321484.0,193010.0,7190.0,10872.0,144346.0,108337.0,1140.0,7352.0,3579.0,12072.0,19085.0,8408.0,65.0,17427.0,2441.0,69768.0,44.16,32.1,22.78,27.49,24.93,43.04,22.74,12.2,47.44,41.33,66.27,57.7,61.7,55.42,42.1,45.47,8.47,18.36,16.55,26.08,21.84,24.06,23.31,15.86,10.22,5.33,2.43,5.51,4.09,5.34,1.48,4.1,4.44,7.74,14.61,4.01,3.21,5.66,4.84,2.6,1.95,2.61,3.91,5.15,11.58,0.5,6.3,1.63,106.45,60.52,118.9,102.3,96.4,6.5,157744.0,91870.0,6363.0,3128.0,2889.0,3.09,2.35,1.72,2.04,1.87,3.03,1.72,0.96,11.82,6.23,4.02,135.37,323274695.0,1971127279.0,3956852345.0,4302958043.0,,,,0.55,131.74
2014-02-01,6.4,6.3,724.0,0.64,0.38,744219.0,99467.0,20163.0,139147.0,66750.0,226061.0,325528.0,191847.0,6682.0,11105.0,140127.0,106237.0,1157.0,8797.0,5548.0,15503.0,22109.0,7228.0,50.0,18442.0,2562.0,67149.0,46.48,32.16,22.93,27.8,25.13,44.2,23.85,14.83,47.28,41.5,67.73,58.27,62.78,55.43,41.8,44.07,8.37,18.38,16.52,26.21,22.24,24.25,23.43,15.81,10.29,4.99,2.19,5.4,4.12,4.64,2.33,3.91,4.3,7.51,13.94,3.32,3.23,5.56,4.81,2.56,1.94,2.58,3.82,5.07,11.87,0.44,6.35,1.59,105.83,67.24,171.0,196.0,92.3,6.8,157925.0,91699.0,6717.0,3143.0,2916.0,3.23,2.35,1.74,2.07,1.89,3.1,1.8,1.16,12.08,6.2,4.38,140.49,326389329.0,1989751973.0,3973241537.0,4308697091.0,,,,0.69,136.39
2014-03-01,6.4,6.2,724.0,0.82,1.67,746882.0,100293.0,20377.0,140517.0,67162.0,228055.0,328348.0,189958.0,6136.0,11274.0,142056.0,105385.0,1079.0,7494.0,3603.0,12175.0,18778.0,6654.0,40.0,18515.0,2440.0,69378.0,46.75,32.25,23.26,27.77,25.33,43.95,23.54,18.16,47.09,41.47,67.23,57.73,62.32,55.01,41.53,45.53,8.5,18.32,16.52,26.22,22.23,24.26,23.4,15.66,10.29,5.04,2.26,5.89,4.39,4.87,1.52,3.84,4.47,8.45,15.59,4.65,3.9,5.58,4.94,2.58,1.96,2.61,3.88,5.04,11.28,0.38,6.31,1.61,104.77,67.37,216.2,452.5,94.8,7.2,158107.0,91456.0,7141.0,3033.0,2952.0,3.25,2.36,1.76,2.06,1.9,3.08,1.78,1.4,12.02,6.15,4.39,140.66,321036411.0,2004771520.0,3987162587.0,4323341813.0,,,,0.92,125.78
2014-04-01,6.4,6.2,724.0,0.78,0.78,748776.0,101343.0,20576.0,142165.0,67739.0,230480.0,331822.0,188988.0,5706.0,11653.0,141780.0,108376.0,1170.0,8141.0,3649.0,12960.0,19941.0,7589.0,68.0,17756.0,2729.0,69682.0,46.67,32.35,23.25,27.76,25.32,45.29,22.62,15.84,46.94,41.47,67.3,57.73,62.37,55.13,41.23,44.07,8.63,18.31,16.45,26.35,22.33,24.37,23.43,15.59,10.35,5.14,2.3,5.97,4.25,5.38,1.44,4.12,4.62,8.37,15.55,4.74,4.07,5.61,5.05,2.56,1.9,2.59,3.9,4.96,11.25,0.36,6.5,1.74,104.71,65.2,268.6,531.6,102.8,7.2,158281.0,91698.0,7134.0,3028.0,2950.0,3.24,2.36,1.76,2.06,1.9,3.16,1.71,1.23,11.7,6.15,4.27,136.79,320332877.0,2018409621.0,4024128054.0,4353875595.0,,,,0.67,120.25
2014-05-01,6.5,6.2,724.0,0.6,-0.13,753346.0,102305.0,20796.0,144084.0,68514.0,233394.0,335699.0,188064.0,5295.0,11868.0,144053.0,111963.0,1215.0,8640.0,3591.0,13447.0,20526.0,7694.0,59.0,17690.0,2557.0,71689.0,47.13,32.48,23.6,27.86,25.58,45.0,22.99,15.42,47.49,42.33,68.2,57.5,62.94,55.8,41.27,44.3,8.67,18.4,16.42,26.44,22.42,24.45,23.47,15.53,10.41,5.21,2.4,5.66,3.96,4.84,1.8,3.87,4.37,8.14,15.23,3.55,3.6,5.75,5.22,2.65,1.88,2.65,4.02,4.99,11.51,0.35,6.67,1.77,105.92,65.24,150.1,185.2,104.3,7.1,158462.0,91892.0,6972.0,3008.0,2946.0,3.27,2.37,1.78,2.07,1.92,3.14,1.74,1.2,11.77,6.2,4.27,134.28,314796451.0,2037576287.0,4071238100.0,4391423444.0,,,,0.46,109.48
2014-06-01,6.4,6.1,724.0,0.26,-0.74,755254.0,102607.0,20838.0,145983.0,69518.0,236340.0,338947.0,186544.0,4906.0,11944.0,144703.0,108390.0,1092.0,8613.0,3639.0,13344.0,19994.0,6853.0,53.0,17576.0,2458.0,69490.0,47.92,32.62,23.64,27.89,25.62,45.67,23.02,14.47,47.52,42.5,67.4,57.8,62.55,55.75,41.4,47.0,8.5,18.36,16.31,26.63,22.31,24.54,23.51,15.39,10.44,4.98,2.25,5.72,4.3,4.97,1.41,3.86,4.42,8.13,15.37,4.42,3.77,5.62,4.87,2.46,1.87,2.5,3.85,4.89,11.36,0.34,6.66,1.73,106.09,67.13,322.2,96.8,114.8,6.9,158641.0,92118.0,6861.0,2995.0,2930.0,3.32,2.38,1.78,2.07,1.92,3.18,1.74,1.13,11.92,6.21,4.37,133.55,317270689.0,2061091340.0,4101325335.0,4428178547.0,51.0,2.0,91102.45,0.4,107.37
2014-07-01,6.5,6.2,724.0,0.13,-0.61,756577.0,102505.0,20992.0,147793.0,70358.0,239144.0,341649.0,185283.0,4516.0,12087.0,145535.0,114847.0,1173.0,7604.0,4091.0,12868.0,19774.0,7887.0,47.0,16827.0,2583.0,73983.0,48.02,32.82,24.09,27.92,25.92,45.93,23.14,15.03,47.52,41.93,66.73,57.57,62.04,55.44,41.57,44.3,8.63,18.48,16.2,26.71,22.35,24.59,23.57,15.36,10.55,4.96,2.34,5.35,3.89,4.28,1.27,3.36,4.01,7.68,14.77,4.38,3.56,5.71,5.01,2.48,1.88,2.53,3.94,4.77,11.14,0.33,6.95,1.71,105.56,66.34,66.1,158.5,114.7,7.0,158822.0,92056.0,6914.0,3013.0,2923.0,3.32,2.39,1.81,2.07,1.94,3.2,1.75,1.17,11.91,6.19,4.33,131.3,313720506.0,2068935938.0,4169700240.0,4489161835.0,26.0,3.0,96033.08,0.01,109.55
2014-08-01,6.5,6.3,724.0,0.18,-0.27,758986.0,103137.0,21250.0,149491.0,70692.0,241433.0,344569.0,184583.0,4185.0,12231.0,145928.0,109546.0,1121.0,6703.0,3586.0,11410.0,18250.0,7664.0,47.0,16694.0,2499.0,71790.0,48.4,33.06,24.06,27.89,25.91,45.52,23.23,16.28,47.36,41.5,65.03,57.43,60.92,55.1,41.6,45.07,8.63,18.45,16.12,26.66,22.39,24.57,23.54,15.25,10.63,4.89,2.32,5.11,3.64,3.98,1.26,3.15,3.79,7.41,14.07,4.21,3.45,5.7,5.01,2.54,1.86,2.56,3.97,4.61,10.73,0.32,6.97,1.68,106.68,68.44,58.3,72.8,126.5,7.0,158997.0,92056.0,6910.0,3018.0,2943.0,3.34,2.41,1.81,2.07,1.94,3.18,1.76,1.26,12.09,6.24,4.44,129.87,317892917.0,2087372837.0,4271481439.0,4570292750.0,17.0,1.0,21649.96,0.25,110.54
2014-09-01,6.6,6.2,724.0,0.49,0.2,763225.0,103607.0,21379.0,150410.0,71064.0,242853.0,346460.0,183920.0,3857.0,12125.0,148012.0,116369.0,1158.0,6892.0,3701.0,11751.0,19094.0,8502.0,51.0,15767.0,2430.0,73421.0,47.47,33.3,24.16,27.81,25.96,44.49,22.78,16.96,47.4,41.8,64.63,57.7,60.77,55.12,41.6,44.77,8.5,18.46,16.12,26.64,22.4,24.56,23.52,15.25,10.75,4.95,2.33,5.08,3.68,4.36,1.23,3.38,4.0,7.18,14.1,4.02,3.28,5.68,5.02,2.55,1.86,2.57,3.94,4.42,10.33,0.32,7.23,1.71,107.57,65.63,86.5,85.8,129.1,6.9,159168.0,92407.0,6812.0,3032.0,2952.0,3.29,2.42,1.82,2.07,1.94,3.11,1.72,1.31,11.88,6.27,4.29,132.39,325937821.0,2110060143.0,4306043943.0,4641249955.0,25.0,5.0,136835.38,0.57,118.92
2014-10-01,6.6,6.2,724.0,0.38,0.28,769177.0,103980.0,21536.0,152370.0,72599.0,246504.0,350484.0,183603.0,3567.0,11869.0,150575.0,124091.0,1114.0,10145.0,6001.0,17259.0,24718.0,8654.0,57.0,16357.0,2360.0,75637.0,49.11,34.1,23.39,27.94,25.58,46.08,23.04,17.75,51.78,41.63,77.3,68.1,71.76,62.64,41.73,43.03,8.37,18.95,16.0,27.76,23.71,25.65,24.33,15.24,10.92,4.69,2.19,5.02,3.49,4.1,1.21,3.2,3.85,7.13,13.84,4.5,3.42,5.62,4.91,2.44,1.82,2.47,3.9,4.24,10.05,0.34,7.21,1.66,106.85,68.54,278.1,298.4,138.8,6.7,159339.0,92692.0,6663.0,3012.0,2965.0,3.39,2.48,1.77,2.07,1.92,3.21,1.74,1.37,12.26,6.24,4.45,139.28,324782470.0,2121339527.0,4349931096.0,4677624437.0,68.0,8.0,281277.55,0.42,115.82
